#/media/gabriel/Data/Projects/Lumon/citizen_agenda/src/logic/linguistics.py
# GMT Mon Oct  5 18:32:58 2020
# tf_idf
abrir convocatorio luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
luisfer81567047
gabrielmoreno10
AlcaldiadeMed
QuinteroCalle
abrir procesar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
acompanamiento especializar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
actualizar casar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
actualizar caso luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
aire hoy luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
aire librar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
alaire hoy luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
alto calidad luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
arte cultura luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
bajar guardia luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
bienestar animal luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
bill peso luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
bueno comportamiento luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
bueno noticiar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
calidad aire luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
capturar alias luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
caso nuevo luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
cedulas terminar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
centro comercial luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
ciencia tecnologia luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
compartir dato luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
compartir informacion luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
compraspublicas abrir luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
compraspublicas encontrar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
compraspublicas iniciar luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
conocer mas luisfer81567047 gabrielmoreno10 AlcaldiadeMed QuinteroCalle
